company_original,company_processed,matched_assignee_original,matched_assignee_processed,similarity_score,valid_match,notes
9 METERS BIOPHARMA INC,9 meters biopharma,"9 Meters Biopharma, Inc.",9 meters biopharma,1.0,True,
908 DEVICES INC,908 devices,908 Devices Inc.,908 devices,1.0,True,
A & E PLASTIK PAK INC,a e plastik pak,"A & E Plastik Pak Co., Inc.",a e plastik pak,1.0,True,
A S V INC,a s v,"A.S.V., LLC",a s v,1.0,True,
A.B.A. INDUSTRIES INC,a b a industries,"A & B Industries, Inc.",a b industries,0.9639033079147339,True,
A10 NETWORKS INC,a10 networks,"A10 Networks, Inc.",a10 networks,1.0,True,
A123 SYSTEMS INC,a123 systems,A123 SYSTEMS LLC,a123 systems,1.0,True,
A21 GROUP INC,a21,"A21, Inc.",a21,1.0,True,
AAI CORP,aai,AAI Corporation,aai,1.0,True,
AAIPHARMA INC,aaipharma,aaiPharma Inc.,aaipharma,1.0,True,
AAON INC,aaon,"AAON, Inc.",aaon,1.0,True,
AAR CORP,aar,AAR INC.,aar,1.0,True,
AASTRA TECHNOLOGIES LTD,aastra technologies,AASTRA TECHNOLOGIES LIMITED,aastra technologies,1.0,True,
AAVID THERMAL TECHNOLOGIES,aavid thermal technologies,"Aavid Thermal Technologies, Inc.",aavid thermal technologies,1.0,True,
AB HOLDING GROUP INC,ab,"AB Holdings, LLC",ab,1.0,True,
ABATTIS BIOCEUTICALS CORP,abattis bioceuticals,Abattis Bioceuticals Corp.,abattis bioceuticals,0.9999999403953552,True,
ABAXIS INC,abaxis,"Abaxis, Inc.",abaxis,1.0,True,
ABAXX TECHNOLOGIES INC,abaxx technologies,Abaxx Technologies Corp.,abaxx technologies,0.9999998807907104,True,
ABB AB,abb ab,ABB AB,abb ab,1.0,True,
ABB LTD,abb,ABB AG,abb,0.9999998807907104,True,
ABBOTT LABORATORIES,abbott laboratories,ABBOTT LABORATORIES,abbott laboratories,1.0,True,
ABBVIE INC,abbvie,AbbVie Inc.,abbvie,1.0,True,
ABC DISPENSING TECHNOLOGIES,abc dispensing technologies,ABC Dispensing Technologies,abc dispensing technologies,0.9999999403953552,True,
ABC-NACO INC,abc naco,ABC-NACO Inc.,abc naco,1.0,True,
ABEX INC,abex,Abex Corporation,abex,1.0,True,
ABF FREIGHT SYSTEM INC,abf freight system,"ABF Freight System, Inc.",abf freight system,0.9999998807907104,True,
ABGENIX INC,abgenix,"Abgenix, Inc.",abgenix,1.0,True,
ABIOMED INC,abiomed,"ABIOMED, INC.",abiomed,1.0,True,
ABITIBI CONSOLIDATED INC,abitibi consolidated,"Abitibi-Consolidated, Inc.",abitibi consolidated,1.0,True,
ABM INDUSTRIES INC,abm industries,ABM Industries Incorporated,abm industries,0.9999999403953552,True,
ABOUT.COM INC,about com,"About.com, Inc.",about com,0.9999999403953552,True,
ABRAXIS BIOSCIENCE INC,abraxis bioscience,"Abraxis BioScience, LLC",abraxis bioscience,1.0,True,
ABSCI CORP,absci,"ABSCI, LLC",absci,1.0,True,
ABSOLUTE SOFTWARE CORP,absolute software,Absolute Software Corporation,absolute software,1.0,True,
ABTECH HOLDINGS INC,abtech,ABTECH LIMITED,abtech,0.9999997615814209,True,
AC IMMUNE SA,ac immune,AC Immune SA,ac immune,0.9999999403953552,True,
ACACIA COMMUNICATIONS INC,acacia communications,"ACACIA COMMUNICATIONS, INC.",acacia communications,1.0,True,
ACACIA RESEARCH CORP,acacia research,ACACIA RESEARCH GROUP LLC,acacia research,1.0,True,
ACADIA PHARMACEUTICALS INC,acadia pharmaceuticals,"ACADIA PHARMACEUTICALS, INC.",acadia pharmaceuticals,1.0,True,
ACAMBIS PLC,acambis,Acambis Inc.,acambis,1.0,True,
ACCEL INTL CORP,accel,ACCEL,accel,0.9999998807907104,True,
ACCELERATE DIAGNOSTICS INC,accelerate diagnostics,"Accelerate Diagnostics, Inc.",accelerate diagnostics,1.0,True,
ACCELERATORS INC,accelerators,"Accelerators, Inc.",accelerators,1.0,True,
ACCELERON PHARMA INC,acceleron pharma,ACCELERON PHARMA INC.,acceleron pharma,0.9999998211860657,True,
ACCELEWARE LTD,acceleware,Acceleware Ltd.,acceleware,1.0,True,
ACCELGRAPHICS INC,accelgraphics,"AccelGraphics, Inc.",accelgraphics,1.0,True,
ACCELLENT INC,accellent,Accellent Inc.,accellent,1.0,True,
ACCELRYS INC,accelrys,Accelrys Inc.,accelrys,1.0,True,
ACCENT COLOR SCIENCES INC,accent color sciences,"Accent Color Sciences, Inc.",accent color sciences,1.0,True,
ACCENTIA BIOPHARMACEUTICALS,accentia biopharmaceuticals,"Accentia Biopharmaceuticals, Inc.",accentia biopharmaceuticals,1.0,True,
ACCESS CORP,access,Access International Inc.,access,0.9999998807907104,True,
ACCESS HEALTH INC,access health,"Access Health, LLC",access health,0.9999999403953552,True,
ACCESS SOLUTIONS INTL INC,access solutions,"Access Solutions, LLC",access solutions,0.9999998807907104,True,
ACCO BRANDS CORP,acco brands,ACCO BRANDS CORPORATION,acco brands,1.0,True,
ACCO WORLD CORP,acco world,Acco World Corporation,acco world,1.0,True,
ACCOLADE INC,accolade,"ACCOLADE, INC.",accolade,1.0,True,
ACCOM INC,accom,"Accom, Inc.",accom,1.0,True,
ACCREDO HEALTH INC,accredo health,"Accredo Health Group, Inc.",accredo health,0.9999998807907104,True,
ACCUMED INTERNATIONAL INC,accumed,"AccuMed International, Inc.",accumed,1.0,True,
ACCURAY INC,accuray,Accuray Incorporated,accuray,1.0,True,
ACCURAY INC,accuray,Accuray Incorporated,accuray,1.0,True,
ACCURIDE CORP,accuride,ACCURIDE CORPORATION,accuride,1.0,True,
ACD SYSTEMS INTL INC,acd systems,ACD Systems International Inc.,acd systems,1.0,True,
ACE COMM CORP,ace comm,Ace*Comm Corporation,ace comm,1.0,True,
ACE HARDWARE CORP,ace hardware,Ace Hardware Corporation,ace hardware,0.9999998807907104,True,
ACER THERAPEUTICS INC,acer therapeutics,"Acer Therapeutics, Inc.",acer therapeutics,1.0,True,
ACERUS PHARMACEUTICALS CORP,acerus pharmaceuticals,Acerus Pharmaceuticals SRL,acerus pharmaceuticals,0.9999998807907104,True,
ACETEX CORP,acetex,Acetex limited,acetex,0.9999998807907104,True,
ACETO CORP,aceto,Aceto Corporation,aceto,1.0,True,
ACF INDUSTRIES INC,acf industries,ACF Industries Incorporated,acf industries,1.0,True,
ACHAOGEN INC,achaogen,"ACHAOGEN, INC.",achaogen,1.0,True,
ACHIEVE LIFE SCIENCES INC,achieve life sciences,"Achieve Life Sciences, Inc.",achieve life sciences,1.0,True,
ACHILLION PHARMACEUTICALS,achillion pharmaceuticals,"Achillion Pharmaceuticals, Inc.",achillion pharmaceuticals,1.0,True,
ACI HOLDING INC,aci,ACI International,aci,0.9999999403953552,True,
ACI WORLDWIDE INC,aci worldwide,ACI Worldwide Corporation,aci worldwide,1.0,True,
ACLARA BIOSCIENCES INC,aclara biosciences,"Aclara Biosciences, Inc.",aclara biosciences,1.0,True,
ACLARION INC,aclarion,"ACLARION, INC.",aclarion,1.0,True,
ACLARIS THERAPEUTICS INC,aclaris therapeutics,"Aclaris Therapeutics, Inc.",aclaris therapeutics,1.0,True,
ACM RESEARCH INC,acm research,"ACM RESEARCH, INC.",acm research,1.0,True,
ACME ELECTRIC CORP,acme electric,Acme Electric Corporation,acme electric,1.0,True,
ACME METALS INC,acme metals,ACME Metals Incorporated,acme metals,1.0,True,
ACME PACKET INC,acme packet,"Acme Packet, Inc.",acme packet,1.0,True,
ACME PRECISION PRODUCTS INC,acme precision products,"Acme Precision Products, Inc.",acme precision products,0.9999997615814209,True,
ACME UNITED CORP,acme united,Acme United Corporation,acme united,1.0,True,
ACME-CLEVELAND CORP,acme cleveland,Acme-Cleveland Corporation,acme cleveland,1.0,True,
ACORDA THERAPEUTICS INC,acorda therapeutics,"Acorda Therapeutics, Inc.",acorda therapeutics,1.0,True,
ACORN PRODUCTS INC,acorn products,"Acorn Products, LLC",acorn products,1.0,True,
ACR GROUP INC,acr,"ACR CO., LTD.",acr,1.0,True,
ACRES GAMING INC,acres gaming,Acres Gaming Incorporated,acres gaming,1.0,True,
ACRES LTD,acres,Acres International Corporation,acres,1.0,True,
ACRO BIOMEDICAL CO LTD,acro biomedical,ACRO BIOMEDICAL COMPANY. LTD.,acro biomedical,1.0,True,
ACS INDUSTRIES INC,acs industries,"ACS Industries, Inc.",acs industries,1.0,True,
ACS MOTION CONTROL LTD,acs motion control,ACS Motion Control Ltd.,acs motion control,1.0,True,
ACSYS INC,acsys,ACSYS HOLDINGS LIMITED,acsys,1.0,True,
ACT INTERNATIONAL INC,act,"ACT, INC.",act,1.0,True,
ACT TELECONFERENCING INC,act teleconferencing,"ACT Teleconferencing, Inc.",act teleconferencing,1.0,True,
ACTEL CORP,actel,Actel Corporation,actel,1.0,True,
ACTELIS NETWORKS INC,actelis networks,Actelis Networks Inc.,actelis networks,1.0,True,
ACTERNA CORP,acterna,Acterna LLC,acterna,1.0,True,
ACTINIUM PHARMACEUTICALS INC,actinium pharmaceuticals,"Actinium Pharmaceuticals, Inc.",actinium pharmaceuticals,1.0,True,
ACTION PLC,action,"Action, Inc.",action,0.9999997615814209,True,
ACTIVE NETWORK INC,active network,"ACTIVE NETWORK, LLC",active network,1.0,True,
ACTIVE VOICE CORP,active voice,Active Voice Corporation,active voice,0.9999998211860657,True,
ACTIVECARE INC,activecare,"ActiveCare, Inc.",activecare,1.0,True,
ACTIVIDENTITY CORP,actividentity,"Actividentity, Inc.",actividentity,1.0,True,
ACTIVISION INC,activision,"Activision, Inc.",activision,1.0,True,
ACTUATE CORP,actuate,Actuate Corporation,actuate,1.0,True,
ACTUATE THERAPEUTICS INC,actuate therapeutics,ACTUATE THERAPEUTICS INC.,actuate therapeutics,0.9999998807907104,True,
ACTV INC,actv,ACTV Inc.,actv,0.9999997615814209,True,
ACUITY BRANDS INC,acuity brands,"Acuity Brands, Inc.",acuity brands,0.9999998807907104,True,
ACUITY CIMATRIX INC,acuity cimatrix,"Acuity CiMatrix, Inc.",acuity cimatrix,1.0,True,
ACUITY IMAGING INC,acuity imaging,"Acuity Imaging, LLC",acuity imaging,1.0,True,
ACUMEN PHARMACEUTICALS INC,acumen pharmaceuticals,"Acumen Pharmaceuticals, Inc.",acumen pharmaceuticals,1.0,True,
ACURX PHARMA INC,acurx pharma,"Acurx Pharmaceuticals, Inc.",acurx pharmaceuticals,0.9569056034088135,True,
ACUSHNET HOLDINGS CORP,acushnet,Acushnet Company,acushnet,0.9999999403953552,True,
ACUSHNET HOLDINGS CORP,acushnet,Acushnet Company,acushnet,0.9999999403953552,True,
ACUSON CORP,acuson,ACUSON,acuson,1.0,True,
ACUSPHERE INC,acusphere,"Acusphere, Inc.",acusphere,0.9999999403953552,True,
ACUTUS MEDICAL INC,acutus medical,"ACUTUS MEDICAL, INC.",acutus medical,1.0,True,
ACV AUCTIONS INC,acv auctions,ACV Auctions Inc.,acv auctions,1.0,True,
ADAC LABORATORIES,adac laboratories,"ADAC Laboratories, Inc.",adac laboratories,1.0,True,
ADAGENE INC,adagene,"Adagene, Inc.",adagene,1.0,True,
ADAMAS PHARMACEUTICALS INC,adamas pharmaceuticals,"Adamas Pharmaceuticals, Inc.",adamas pharmaceuticals,1.0,True,
ADAMS GOLF INC,adams golf,Adams Golf LP,adams golf,0.9999999403953552,True,
ADAMS RUSSELL,adams russell,Adams-Russell Co. Inc.,adams russell,1.0,True,
ADAPTIVE BROADBAND CORP.,adaptive broadband,Adaptive Broadband Corporation,adaptive broadband,1.0,True,
ADAPTIVE SOLUTIONS INC,adaptive solutions,"Adaptive Solutions, Inc.",adaptive solutions,0.9999999403953552,True,
ADC TELECOMMUNICATIONS INC,adc telecommunications,"ADC Telecommunications, Inc.",adc telecommunications,1.0,True,
ADC THERAPEUTICS SA,adc therapeutics,ADC THERAPEUTICS SA,adc therapeutics,1.0,True,
ADDINGTON RESOURCES INC,addington resources,"Addington Resources, Inc.",addington resources,1.0,True,
ADDITIVE TECHNOLOGY CORP,additive technology,Additive Technology Corporation,additive technology,1.0,True,
ADDMASTER CORP,addmaster,Addmaster Corporation,addmaster,1.0,True,
ADEPT TECHNOLOGY INC,adept technology,"Adept Technology, Inc.",adept technology,1.0,True,
ADERIS PHARMACEUTICALS INC,aderis pharmaceuticals,"Aderis Pharmaceuticals,  Inc.",aderis pharmaceuticals,1.0,True,
ADESA INC,adesa,"ADESA, Inc.",adesa,1.0,True,
ADESTO TECHNOLOGIES CORP,adesto technologies,Adesto Technologies Corporation,adesto technologies,1.0,True,
ADEZA BIOMEDICAL CORP,adeza biomedical,Adeza Biomedical Corporation,adeza biomedical,1.0,True,
ADF GROUP INC,adf,"ADF, LLC",adf,1.0,True,
ADFITECH INC,adfitech,"ADTECH CO., LTD.",adtech,0.9562808275222778,True,
ADICET BIO INC,adicet bio,"ADICET BIO, INC.",adicet bio,0.9999998807907104,True,
ADMA BIOLOGICS INC,adma biologics,"ADMA BIOLOGICS, INC.",adma biologics,1.0,True,
ADMAR GROUP INC,admar,"Admar International, Inc.",admar,1.0,True,
ADMIRALTY HOLDING,admiralty,Admiralty Corporation,admiralty,1.0,True,
ADOBE INC,adobe,"Adobe International, Inc.",adobe,1.0,True,
ADOLOR CORP,adolor,Adolor Corporation,adolor,0.9999998807907104,True,
ADRIAN STEEL CO,adrian steel,Adrian Steel Company,adrian steel,1.0,True,
ADS TEC ENERGY PLC,ads tec energy,ads-tec Energy GmbH,ads tec energy,0.9999998807907104,True,
ADT INC,adt,"ADT Holdings, Inc.",adt,0.9999999403953552,True,
ADT INC,adt,"ADT Holdings, Inc.",adt,0.9999999403953552,True,
ADT INC,adt,"ADT Holdings, Inc.",adt,0.9999999403953552,True,
ADTEC INC,adtec,Adtec International Ltd.,adtec,0.9999996423721313,True,
ADTRAN HOLDINGS INC,adtran,"ADTRAN, Inc.",adtran,1.0,True,
ADURO BIOTECH INC,aduro biotech,Aduro BioTech Inc.,aduro biotech,1.0,True,
ADVANCE CIRCUITS INC,advance circuits,"Advance Circuits, Inc.",advance circuits,0.9999999403953552,True,
ADVANCE DISPLAY TECHNOLOGIES,advance display technologies,"Advance Display Technologies, Inc.",advance display technologies,0.9999998807907104,True,
ADVANCED CHEMICAL TECHNOLOGY,advanced chemical technology,Advanced Chemical Technology,advanced chemical technology,0.9999998807907104,True,
ADVANCED DRAINAGE SYSTEMS,advanced drainage systems,"Advanced Drainage Systems, Inc.",advanced drainage systems,1.0,True,
ADVANCED ENGINE TECHNOLOGIES,advanced engine technologies,Advanced Engine Technologies LLC,advanced engine technologies,1.0,True,
ADVANCED FUEL SYSTEMS INC,advanced fuel systems,Advanced Fuel Systems,advanced fuel systems,1.0,True,
ADVANCED LOGIC RESEARCH INC,advanced logic research,"Advanced Logic Research, Inc.",advanced logic research,1.0,True,
ADVANCED MATERIALS GROUP INC,advanced materials,"Advanced Materials International Company, Ltd.",advanced materials,1.0,True,
ADVANCED MEDICAL OPTICS INC,advanced medical optics,"Advanced Medical Optics, Inc.",advanced medical optics,1.0,True,
ADVANCED MICRO DEVICES,advanced micro devices,"Advanced Micro Devices, Inc.",advanced micro devices,1.0,True,
ADVANCED OPTICS ELECTRONICS,advanced optics electronics,"Advanced Optics Electronics, Inc.",advanced optics electronics,0.9999998807907104,True,
ADVANCED OXYGEN TECHNOLOGY,advanced oxygen technology,"Advanced Oxygen Technologies, Inc.",advanced oxygen technologies,0.9848097562789917,True,
ADVANCED RECYCLING SCIENCES,advanced recycling sciences,"Advanced Recycling Sciences, Inc.",advanced recycling sciences,1.0,True,
ADVANCED SURGICAL INC,advanced surgical,"Advanced Surgical, Inc.",advanced surgical,1.0,True,
ADVANCED SYSTEMS INTL INC,advanced systems,"ADVANCED SYSTEMS, INC.",advanced systems,0.9999998807907104,True,
ADVANCED SYSTEMS INTL INC,advanced systems,"ADVANCED SYSTEMS, INC.",advanced systems,0.9999998807907104,True,
ADVANCED TOBACCO PRODUCTS,advanced tobacco products,"Advanced Tobacco Products, Inc.",advanced tobacco products,1.0,True,
ADVANCED VIRAL RESEARCH CORP,advanced viral research,Advanced Viral Research Corporation,advanced viral research,1.0,True,
ADVANCEPIERRE FOODS HOLDINGS,advancepierre foods,"ADVANCEPIERRE FOODS, INC.",advancepierre foods,0.9999998807907104,True,
ADVANT CORP,advant,Advant Corporation,advant,0.9999997615814209,True,
ADVANTEST CORP,advantest,Advantest Corporation,advantest,1.0,True,
ADVENT CORP,advent,The Advent Corporation,advent,1.0,True,
ADVENT SOFTWARE INC,advent software,"Advent Software, Inc.",advent software,1.0,True,
ADVENT TECHNOLOGIES INC,advent technologies,Advent Technologies SA,advent technologies,1.0,True,
ADVERTISING UNLIMITED INC,advertising unlimited,"Advertising Unlimited, Inc.",advertising unlimited,1.0,True,
ADVERUM BIOTECHNOLOGIES,adverum biotechnologies,"Adverum Biotechnologies, Inc.",adverum biotechnologies,1.0,True,
ADVEST GROUP INC,advest,"The Advest Group, Inc.",advest,1.0,True,
ADVISORY BOARD CO,advisory board,The Advisory Board Company,advisory board,1.0,True,
AEARO CORP,aearo,Aearo Company,aearo,1.0,True,
AEC INC,aec,"AEC, Inc.",aec,1.0,True,
AECOM,aecom,AECOM,aecom,1.0,True,
AEGERION PHARMACEUTICALS INC,aegerion pharmaceuticals,"Aegerion Pharmaceuticals, Inc.",aegerion pharmaceuticals,1.0,True,
AEGIS GROUP PLC,aegis,AEGIS PTY. LTD.,aegis,0.9999998807907104,True,
AEGIS GROUP PLC,aegis,AEGIS PTY. LTD.,aegis,0.9999998807907104,True,
AEGIS INDUSTRIES INC,aegis industries,"Aegis Industries, Inc.",aegis industries,1.0,True,
AEHR TEST SYSTEMS,aehr test systems,AEHR TEST SYSTEMS,aehr test systems,1.0,True,
AEI,aei,AEI,aei,1.0,True,
AEOLUS PHARMACEUTICALS INC,aeolus pharmaceuticals,"Aeolus Pharmaceuticals, Inc.",aeolus pharmaceuticals,1.0,True,
AEON BIOPHARMA INC,aeon biopharma,"Aeon Biopharma, Inc.",aeon biopharma,1.0,True,
AEP INDUSTRIES INC,aep industries,AEP Industries Inc.,aep industries,1.0,True,
AEQUITRON MEDICAL INC,aequitron medical,"Aequitron Medical, Inc.",aequitron medical,1.0,True,
AEQUUS PHARMACEUTICALS INC,aequus pharmaceuticals,Aequus Pharmaceuticals Inc.,aequus pharmaceuticals,0.9999998211860657,True,
AER ENERGY RESOURCES INC,aer energy resources,"AER Energy Resources, Inc.",aer energy resources,1.0,True,
AERIE PHARMACEUTICALS INC,aerie pharmaceuticals,"Aerie Pharmaceuticals, Inc.",aerie pharmaceuticals,1.0,True,
AERO SYSTEMS ENGINEERING INC,aero systems engineering,"Aero Systems Engineering, Inc.",aero systems engineering,0.9999999403953552,True,
AEROFLEX HOLDING CORP,aeroflex,Aeroflex Limited,aeroflex,0.9999998211860657,True,
AEROFLEX HOLDING CORP,aeroflex,Aeroflex Limited,aeroflex,0.9999998211860657,True,
AEROGEN INC,aerogen,"Aerogen, Inc.",aerogen,1.0,True,
AEROGROW INTERNATIONAL INC,aerogrow,"AeroGrow International, Inc.",aerogrow,1.0,True,
AEROHIVE NETWORKS INC,aerohive networks,"Aerohive Networks, Inc.",aerohive networks,1.0,True,
AEROJET GENERAL CORP,aerojet general,AEROJET-GENERAL CORPORATION,aerojet general,1.0,True,
AEROJET ROCKETDYNE HOLDINGS,aerojet rocketdyne,"AEROJET ROCKETDYNE, INC.",aerojet rocketdyne,1.0,True,
AERONCA INC,aeronca,"Aeronca, Inc.",aeronca,1.0,True,
AEROQUIP-VICKERS INC,aeroquip vickers,Aeroquip-Vickers International GmbH,aeroquip vickers,1.0,True,
AEROSONIC CORP,aerosonic,AEROSONIC LLC,aerosonic,1.0,True,
AEROTRON INC,aerotron,"Aerotron, Inc.",aerotron,1.0,True,
AEROVATE THERAPEUTICS INC,aerovate therapeutics,"Aerovate Therapeutics, Inc.",aerovate therapeutics,0.9999998807907104,True,
AEROVIRONMENT INC,aerovironment,"AEROVIRONMENT, INC.",aerovironment,1.0,True,
AEROVOX INC,aerovox,Aerovox,aerovox,1.0,True,
AEROVOX INC,aerovox,Aerovox,aerovox,1.0,True,
AERPIO PHARMACEUTICALS INC,aerpio pharmaceuticals,"AERPIO PHARMACEUTICALS, INC.",aerpio pharmaceuticals,1.0,True,
AES CORP (THE),aes,The AES Corporation,aes,0.9999998807907104,True,
AES TECHNOLOGY SYSTEMS INC,aes technology systems,"AES Technology Systems, Inc.",aes technology systems,1.0,True,
AETHLON MEDICAL INC,aethlon medical,"Aethlon Medical, Inc.",aethlon medical,1.0,True,
AETNA INC,aetna,Aetna Inc.,aetna,1.0,True,
AETNA INDUSTRIES INC,aetna industries,"Aetna Industries, Inc.",aetna industries,0.9999999403953552,True,
AEYE INC,aeye,"Aeye, Inc.",aeye,0.9999999403953552,True,
AFC CABLE SYSTEMS INC,afc cable systems,"AFC Cable Systems, Inc.",afc cable systems,1.0,True,
AFEXA LIFE SCIENCES INC,afexa life sciences,Afexa Life Sciences Inc.,afexa life sciences,1.0,True,
AFFILIATED COMPUTER SERVICES,affiliated computer services,"Affiliated Computer Services, Inc.",affiliated computer services,1.0,True,
AFFIMED NV,affimed,AFFIMED GMBH,affimed,0.9999999403953552,True,
AFFINITY GROUP HOLDING INC,affinity,"Affinity Co., Ltd.",affinity,1.0,True,
AFFIRM HOLDINGS INC,affirm,"Affirm, Inc.",affirm,1.0,True,
AFFYMAX INC,affymax,"Affymax, Inc.",affymax,0.9999998211860657,True,
AFFYMAX INC,affymax,"Affymax, Inc.",affymax,0.9999998211860657,True,
AFFYMETRIX INC,affymetrix,"AFFYMETRIX, INC.",affymetrix,1.0,True,
AFG INDUSTRIES INC,afg industries,"AFG INDUSTRIES, INC.",afg industries,0.9999998807907104,True,
AFI CORP,afi,AFI CORPORATION,afi,0.9999999403953552,True,
AFN INC,afn,"AFN, LLC",afn,1.0,True,
AFP IMAGING CORP,afp imaging,AFP Imaging Corporation,afp imaging,1.0,True,
AFTER SIX INC,after six,"After Six, Inc.",after six,1.0,True,
AFTERMASTER INC,aftermaster,"AfterMaster, Inc.",aftermaster,0.9999998807907104,True,
AG ASSOCIATES INC,associates,AG Associates,associates,1.0,True,
AG CHEM EQUIPMENT INC,chem equipment,"Ag-Chem Equipment Co., Inc.",chem equipment,1.0,True,
AG GROWTH INTERNATIONAL,growth,AG GROWTH INTERNATIONAL INC.,growth,1.0,True,
AG&E HOLDINGS INC,e,"E. Holdings, Inc",e,0.9999998211860657,True,
AGA MEDICAL HOLDINGS INC,aga medical,AGA Medical Corporation,aga medical,1.0,True,
AGCO CORP,agco,AGCO SA,agco,1.0,True,
AGENCY.COM LTD,agency com,Agency.Com Ltd.,agency com,1.0,True,
AGENNIX AG,agennix,Agennix AG,agennix,1.0,True,
AGENUS INC,agenus,AGENUS INC.,agenus,1.0,True,
AGERE SYSTEMS INC,agere systems,Agere Systems Inc.,agere systems,1.0,True,
AGILE SOFTWARE CORP,agile software,Agile Software Pty Limited,agile software,1.0,True,
AGILE THERAPEUTICS INC,agile therapeutics,"Agile Therapeutics, Inc.",agile therapeutics,1.0,True,
AGILENT TECHNOLOGIES INC,agilent technologies,"Agilent Technologies, Inc.",agilent technologies,1.0,True,
AGILITY CAPITAL INC,agility capital,Agility Capital LLC,agility capital,0.9999996423721313,True,
AGILYSYS INC,agilysys,"Agilysys NV, LLC",agilysys,0.9999997615814209,True,
AGIOS PHARMACEUTICALS,agios pharmaceuticals,"Agios Pharmaceuticals, Inc.",agios pharmaceuticals,0.9999998807907104,True,
AGJUNCTION INC,agjunction,AGJUNCTION LLC,agjunction,1.0,True,
AGM INDUSTRIES INC,agm industries,"AGM Industries, Inc.",agm industries,1.0,True,
AGOURON PHARMACEUTICALS INC,agouron pharmaceuticals,"Agouron Pharmaceuticals, Inc.",agouron pharmaceuticals,1.0,True,
AGRA INDUSTRIES LTD,agra industries,"AGRA Industries, Inc.",agra industries,1.0,True,
AGRAQUEST INC,agraquest,"AGRAQUEST, INC.",agraquest,1.0,True,
AGRI DYNAMICS INC,agri dynamics,"Agri Dynamics, Inc.",agri dynamics,0.9999998807907104,True,
AGRIDYNE TECHNOLOGIES INC,agridyne technologies,"Agridyne Technologies, Inc.",agridyne technologies,1.0,True,
AGRIFORCE GROWING SYSTEM LTD,agriforce growing system,Agriforce Growing Systems Ltd.,agriforce growing systems,0.9753012657165527,True,
AGRIFY CORP,agrify,AGRIFY CORPORATION,agrify,1.0,True,
AGRISTAR INC,agristar,"Agristar, Inc.",agristar,0.9999998807907104,True,
AGRITOPE INC,agritope,"Agritope, Inc.",agritope,1.0,True,
AGRIUM INC,agrium,"Agrium, Inc.",agrium,1.0,True,
AGT FOOD AND INGREDIENTS,agt food ingredients,AGT Food and Ingredients Inc.,agt food ingredients,0.9999998807907104,True,
AGWAY INC,agway,Agway Inc.,agway,1.0,True,
AIKEN INDUSTRIES INC,aiken industries,"Aiken Industries, Inc.",aiken industries,0.9999998211860657,True,
AIM IMMUNOTECH INC,aim immunotech,AIM ImmunoTech Inc.,aim immunotech,1.0,True,
AIMMUNE THERAPEUTICS INC,aimmune therapeutics,"Aimmune Therapeutics, Inc.",aimmune therapeutics,0.9999997615814209,True,
AINOS INC,ainos,"AINOS, INC.",ainos,1.0,True,
AINSWORTH LUMBER CO LTD,ainsworth lumber,Ainsworth Lumber Co. Ltd.,ainsworth lumber,1.0,True,
AIR CARGO EQUIPMENT CORP,air cargo equipment,Air Cargo Equipment Corporation,air cargo equipment,1.0,True,
